Número;Cliente (Completo);Serviço (2º Nível);Status;Esforço estimado;Tempo trabalhado;Andamento;Data da última ação;Tipo de faturamento;Responsável;Account Manager ;Aberto em;Resolvido em;Vencimento em;Assunto;Serviço (3º Nível)
9705;GRUPO CANOPUS;Data e Power;Fechado;10.0;2:03:00;;23/01/2025 00:00;Faturar no inicio do projeto;CDB Data Solutions;Keila Sayuri;14/01/2025 00:00;23/01/2025 00:00;;POLL DE HORAS - DISVECO;Consultoria técnica
11398;Via Certa;Azure;Fechado;10.0;0:01:00;;10/06/2025 00:00;PRIME;Eduardo Fernandes;Erika Okada;14/04/2025 00:00;10/06/2025 00:00;;VIA CERTA, Azure Arc ( Camada Gratuita);Atualização/Upgrade de ambiente
10133;LIONS TRUST ADMINISTRADORA DE RECURSOS LTDA;Azure;Fechado;10.0;2:30:00;100.0;14/02/2025 00:00;PRIME;Marcelo Zola;Cleber Bastos;05/02/2025 00:00;17/02/2025 00:00;;LIONS TRUST - Azure;Atualização/Upgrade de ambiente
10237;BP One Group;Azure;Fechado;14.0;0:08:00;;28/05/2025 00:00;Faturar no inicio do projeto;Eduardo Kochhann;Gustavo Moyses;11/02/2025 00:00;28/05/2025 00:00;;BP ONE / POWER BI EMBEDDED;Criação e Configuração Storage Account - Blob, File Share, Queues ou Tables
11253;NEOBPO;M365;Fechado;10.0;4:02:00;;17/06/2025 00:00;Engajamento;Eduardo Kochhann;Diogo Lima;03/04/2025 00:00;17/06/2025 00:00;24/06/2025 18:00;NEOBPO, THREAT PROTECTION ENGAGEMENT;Engajamento - Threat protection engagement
11254;NEOBPO;M365;Fechado;10.0;0:02:00;;17/06/2025 00:00;Engajamento;Eduardo Kochhann;Diogo Lima;03/04/2025 00:00;17/06/2025 00:00;24/06/2025 18:00;NEOBPO, DATA SECURITY ENGAGEMENT;Engajamento - Data security
11218;CAMPOS MELLO ADVOGADOS;M365;Aguardando;35.0;0:01:00;;28/04/2025 00:00;Faturado em outro projeto;Eduardo Kochhann;Thiago Alcantara;02/04/2025 00:00;;18/07/2025 18:00;Campos Mello - Microsoft Defender for Endpoint - Estimativa de 35 horas;Desenvolvimento e implementação de projeto DEFENDER
11219;CAMPOS MELLO ADVOGADOS;M365;Aguardando;45.0;0:01:00;;28/04/2025 00:00;Faturado em outro projeto;Eduardo Kochhann;Thiago Alcantara;02/04/2025 00:00;;05/08/2025 18:00;Campos Mello - Implementação Campanha de Phishing | Estimativa de até 45 horas;Desenvolvimento e implementação de projeto DLP e AIP (MIP)
11220;CAMPOS MELLO ADVOGADOS;M365;Aguardando;40.0;0:03:00;;27/05/2025 00:00;Faturado em outro projeto;Eduardo Kochhann;Thiago Alcantara;02/04/2025 00:00;;30/06/2025 18:00;Campos Mello - FAST.track 40 horas;Assessment de Segurança
11359;JEM SYSTEM;Azure;Fechado;36.0;7:09:00;100.0;28/05/2025 00:00;PRIME;Eduardo Kochhann;Juliana Santos;10/04/2025 00:00;28/05/2025 00:00;23/05/2025 18:00;JEM SEGURANÇA - Azure Files POC;Criação e Configuração Storage Account - Blob, File Share, Queues ou Tables
11126;GS Inima Brasil;M365;Fechado;10.0;0:02:00;;09/04/2025 00:00;Engajamento;Eduardo Kochhann;Eder Rodrigues;28/03/2025 00:00;09/04/2025 00:00;;GS INIMA , THREAT PROTECTION ENGAGEMENT;Engajamento - Threat protection engagement
11133;RECORD;M365;Resolvido;10.0;0:04:00;100.0;01/07/2025 00:00;Engajamento;Eduardo Kochhann;Diogo Lima;28/03/2025 00:00;01/07/2025 00:00;25/06/2025 18:00;RECORD, Data Security Engagement;Engajamento - Data security
11157;CAMPOS MELLO ADVOGADOS;M365;Aguardando;100.0;0:01:00;;28/04/2025 00:00;Faturar no inicio do projeto;Eduardo Kochhann;Thiago Alcantara;31/03/2025 00:00;;01/07/2025 18:00;Campos Mello - Implementação do Microsoft Defender for Identity | Estimativa de 100 horas;Desenvolvimento e implementação de projeto DEFENDER
11160;NEWFIELDS BRASIL;M365;Fechado;42.0;0:11:00;;28/05/2025 00:00;Faturar no inicio do projeto;Eduardo Kochhann;Denilson Barboza;31/03/2025 00:00;28/05/2025 00:00;;NewFields Brasil, Implementação de DLP;Desenvolvimento e implementação de projeto DLP e AIP (MIP)
11130;Cerradinho;M365;Fechado;20.0;21:17:00;100.0;27/05/2025 00:00;Engajamento;Gabriel de Menezes;Mateus Silva;28/03/2025 00:00;27/05/2025 00:00;12/05/2025 18:00;CERRADINHO - DATA SECURITY ENGAGEMENT;Engajamento - Data security
11131;Cerradinho;M365;Fechado;20.0;19:08:00;100.0;12/06/2025 00:00;Engajamento;Gabriel de Menezes;Mateus Silva;28/03/2025 00:00;12/06/2025 00:00;12/05/2025 18:00;THREAT PROTECTION ENGAGEMENT - CERRADINHO;Engajamento - Threat protection engagement
11127;REDE OBA HORTIFRUTI;M365;Fechado;40.0;32:43:00;100.0;27/05/2025 00:00;Engajamento;Gabriel de Menezes;Edison Sprandel;28/03/2025 00:00;27/05/2025 00:00;12/05/2025 18:00;OBA, Incentivo Data Security;Engajamento - Threat protection engagement
10870;GNG Fundações;M365;Fechado;55.0;21:05:00;100.0;30/04/2025 00:00;PRIME;Gabriel de Menezes;Juliana Santos;17/03/2025 00:00;30/04/2025 00:00;25/04/2025 18:00;GNG CONSTRUCOES, 60 M365 BB BS + PRIME - MIGRAÇÃO GMAIL;Migracao E-mails IMAP para M365
11362;PLANALTO SOLUÇÕES IMOBILIARIAS;M365;Em Atendimento;80.0;9:37:00;25.0;30/06/2025 00:00;Descontar do PLUS no inicio do projeto;Gabriel de Menezes;Gustavo Moyses;10/04/2025 00:00;;30/06/2025 18:00;PLANALTO SOLUÇÕES IMOB / MIGRAÇÃO M365 (Godaddy) p/ M365 - 285 usuários;Migracao de tenant para tenant
10505;Novo Cliente Projetos;M365;Fechado;28.0;35:47:00;100.0;23/04/2025 00:00;Faturar no inicio do projeto;Gabriel de Menezes;Caio D'Agostini;24/02/2025 00:00;23/04/2025 00:00;15/04/2025 12:00;HPRO - Migração de e-mails Bluest One;Migracao E-mails IMAP para M365
10178;JUSTNEW TECNOLOGIA;Azure;Fechado;1.0;0:30:00;;11/02/2025 00:00;PRIME;Daniel Modolin;Cleber Bastos;07/02/2025 00:00;11/02/2025 00:00;;JUST NEW, Upgrade VM Azure 2;Atualização/Upgrade de ambiente
11223;INSTITUTO MONITOR;Azure;Fechado;22.0;21:28:00;100.0;26/06/2025 00:00;PRIME;Mateus Augusto;Juliana Santos;02/04/2025 00:00;26/06/2025 00:00;30/06/2025 08:00;INSTITUTO MONITOR, Azure;Atualização/Upgrade de ambiente
10973;FOSNOR - GALVANI;Azure;Fechado;24.0;20:43:00;100.0;15/05/2025 00:00;Descontar do PLUS no inicio do projeto;Mateus Augusto;Tatiana Lesnieski;20/03/2025 00:00;15/05/2025 00:00;09/05/2025 18:00;GALVANI, Azure Devops;Desenvolvimento e implementação de projeto Devops
11052;PRO - LINHAS;Data e Power;Fechado;6.0;4:30:00;100.0;14/04/2025 00:00;Descontar do PLUS no inicio do projeto;Mateus Augusto;Gustavo Moyses;25/03/2025 00:00;14/04/2025 00:00;14/04/2025 18:00;PRO-LINHAS NORDESTE / FABRIC;Desenvolvimento e implementação de projeto Data
11105;Artabas;Azure;Fechado;20.0;18:46:00;100.0;23/04/2025 00:00;Faturar no inicio do projeto;René Pretto de Braga ;Eder Rodrigues;28/03/2025 00:00;23/04/2025 00:00;25/04/2025 18:03;ARTABAS , AMBIENTE BOLHA SAP AZURE;Atualização/Upgrade de ambiente
10764;IPM SISTEMAS;Azure;Fechado;8.0;9:34:00;75.0;28/05/2025 00:00;Faturar no inicio do projeto;René Pretto de Braga ;Gustavo Moyses;11/03/2025 00:00;28/05/2025 00:00;25/04/2025 18:00;IPM SISTEMAS / EMBEDDED 2;Desenvolvimento e implementação de projeto Virtual Desktop
10695;TRIUNFO;Azure;Fechado;24.0;14:31:00;100.0;15/04/2025 00:00;Faturar no inicio do projeto;René Pretto de Braga ;Diogo Lima;06/03/2025 00:00;15/04/2025 00:00;11/04/2025 18:00;TRIUNFO, Projeto Migração Storage (10TB);Desenvolvimento e implementação de projeto de Migração de Banco de Dados
11379;Via Certa;Azure;Fechado;34.0;35:15:00;100.0;27/06/2025 00:00;Descontar do PLUS no inicio do projeto;René Pretto de Braga ;Erika Okada;11/04/2025 00:00;27/06/2025 00:00;27/06/2025 18:00;VIA CERTA- File Server no Azure;Criação e Configuração Storage Account - Blob, File Share, Queues ou Tables
10067;PHARLAB INDUSTRIA FARMACEUTICA S.A;Azure;Fechado;20.0;9:55:00;100.0;10/02/2025 00:00;Faturar no inicio do projeto;René Pretto de Braga ;Cleber Bastos;03/02/2025 00:00;10/02/2025 00:00;10/02/2025 18:00;PHARLAB, AZURE BACKUP (RA-GRS-US);Migracao Workload On Premises para Azure
10073;BIB;M365;Fechado;40.0;62:38:00;100.0;26/05/2025 00:00;Descontar do PLUS no inicio do projeto;Luciano Seabra;Eder Rodrigues;03/02/2025 00:00;26/05/2025 00:00;31/03/2025 18:00;BANCO INDUSTRIAL DO BRASIL , CONSULTORIA EM MDM INTUNE (UTILIZAM M365 E3);Desenvolvimento e implementação de projeto INTUNE
11262;CAFÉ 3 CORAÇÕES;M365;Fechado;20.0;26:01:00;100.0;27/05/2025 00:00;Engajamento;Luciano Seabra;Cleber Bastos;04/04/2025 00:00;27/05/2025 00:00;12/05/2025 18:00;SANTACLARA, Threat Protection Engagement;Engajamento - Threat protection engagement
11263;CAFÉ 3 CORAÇÕES;M365;Fechado;20.0;0:24:00;100.0;30/05/2025 00:00;Engajamento;Luciano Seabra;Cleber Bastos;04/04/2025 00:00;30/05/2025 00:00;12/05/2025 18:00;SANTACLARA, Data Security;Engajamento - Data security
11264;TOZZINI FREIRE;M365;Fechado;20.0;33:55:00;100.0;30/05/2025 00:00;Engajamento;Luciano Seabra;Diogo Lima;04/04/2025 00:00;30/05/2025 00:00;29/05/2025 18:00;TOZZINI FREIRE, THREAT PROTECTION ENGAGEMENT;Engajamento - Threat protection engagement
11265;TOZZINI FREIRE;M365;Fechado;20.0;2:32:00;25.0;16/06/2025 00:00;Engajamento;Luciano Seabra;Diogo Lima;04/04/2025 00:00;16/06/2025 00:00;24/06/2025 18:00;TOZZINI FREIRE, DATA SECURITY ENGAGEMENT;Engajamento - Data security
10413;TW TRANSPORTES E LOGISTICA LTDA;M365;Fechado;150.0;70:35:00;100.0;31/03/2025 00:00;PRIME;Luciano Seabra;Eder Rodrigues;19/02/2025 00:00;31/03/2025 00:00;31/03/2025 18:00;TW TRANSPORTES, Migração Google/365;Migracao E-mails IMAP para M365
10440;ASA Investments;M365;Fechado;20.0;4:00:00;;28/02/2025 00:00;Faturado em outro projeto;Luciano Seabra;Erika Okada;20/02/2025 00:00;28/02/2025 00:00;28/02/2025 18:00;ASA, configuração de politica;Assessment de Segurança
10631;JEM SYSTEM;M365;Em Atendimento;201.0;94:50:00;50.0;25/06/2025 00:00;PRIME;Luciano Seabra;Juliana Santos;28/02/2025 00:00;;30/06/2025 18:00;JEM - M365  Migration Cross Tenants;Migracao de tenant para tenant
10651;Novo Cliente Projetos;M365;Fechado;120.0;39:43:00;100.0;02/04/2025 00:00;PRIME;Luciano Seabra;Thiago Alcantara;05/03/2025 00:00;02/04/2025 00:00;31/03/2025 18:00;Droga Fonte - MS365;Migracao E-mails IMAP para M365
10946;BILD;M365;Fechado;20.0;31:32:00;100.0;27/05/2025 00:00;Engajamento;Tadeu Trajano;Mateus Silva;19/03/2025 00:00;27/05/2025 00:00;21/05/2025 08:00;BILD threat protection engagement;Engajamento - Threat protection engagement
11124;ENFORCE GESTAO DE ATIVOS S.A.;M365;Aguardando;10.0;8:33:00;75.0;26/06/2025 00:00;Engajamento;Tadeu Trajano;Thiago Alcantara;28/03/2025 00:00;;27/06/2025 18:00;Enforce Data Security Engagement;Engajamento - Data security
11125;ENFORCE GESTAO DE ATIVOS S.A.;M365;Aguardando;10.0;5:02:00;75.0;26/06/2025 00:00;Engajamento;Tadeu Trajano;Thiago Alcantara;28/03/2025 00:00;;27/06/2025 18:00;Enforce- Threat Protection Engagement;Engajamento - Threat protection engagement
11000;CAIXA RESIDENCIAL;M365;Fechado;20.0;4:01:00;100.0;28/05/2025 00:00;Engajamento;Tadeu Trajano;Diogo Lima;21/03/2025 00:00;28/05/2025 00:00;30/05/2025 08:00;CAIXA RESIDENCIAL, Threat Protection Engagement;Engajamento - Threat protection engagement
11013;CAIXA RESIDENCIAL;M365;Fechado;20.0;5:01:00;100.0;27/05/2025 00:00;Engajamento;Tadeu Trajano;Diogo Lima;24/03/2025 00:00;27/05/2025 00:00;30/05/2025 08:00;CAIXA RESIDENCIAL, Data Security Engagement;Engajamento - Data security
11128;SICOOB CREDICERIPA;M365;Fechado;20.0;23:02:00;100.0;16/06/2025 00:00;Engajamento;Tadeu Trajano;Erika Okada;28/03/2025 00:00;16/06/2025 00:00;24/06/2025 18:00;THREAT PROTECTION -CREDICERIPA - incentivos;Engajamento - Threat protection engagement
11129;SICOOB CREDICERIPA;M365;Fechado;20.0;4:03:00;100.0;16/06/2025 00:00;Engajamento;Tadeu Trajano;Erika Okada;28/03/2025 00:00;16/06/2025 00:00;24/06/2025 18:00;CREDICERIPA, DATA ENGAGEMENT - incentivos;Engajamento - Data security
11132;BILD;M365;Fechado;20.0;12:02:00;100.0;27/05/2025 00:00;Engajamento;Tadeu Trajano;Mateus Silva;28/03/2025 00:00;27/05/2025 00:00;26/05/2025 18:00;BILD data security engagement;Engajamento - Data security
10038;GDM;M365;Fechado;93.0;30:32:00;100.0;31/03/2025 00:00;Faturar no inicio do projeto;Tadeu Trajano;Erika Okada;31/01/2025 00:00;31/03/2025 00:00;31/03/2025 18:00;GDM- Migração KWS- Sharepoint;Desenvolvimento e implementação de projeto de migração para Sharepoint
11381;Artabas;M365;Fechado;30.0;8:41:00;100.0;02/05/2025 00:00;Faturar no inicio do projeto;Tadeu Trajano;Eder Rodrigues;14/04/2025 00:00;02/05/2025 00:00;;ARTABAS - Migração IMAP Zimbra  ;Migracao Zimbra para M365
10137;Pochteca;M365;Fechado;0.0;1:31:00;100.0;24/02/2025 00:00;Faturado em outro projeto;Tadeu Trajano;Juliana Santos;05/02/2025 00:00;24/02/2025 00:00;;Pré engajamento Coremal - Threat Protection Engagement;Assessment de Segurança
10407;SOU.cloud;M365;Em Atendimento;;82:08:00;;27/06/2025 00:00;;Tadeu Trajano;;19/02/2025 00:00;;30/06/2025 18:00;Projeto Copilot SOU;Demandas Internas
11215;CAMPOS MELLO ADVOGADOS;M365;Fechado;12.0;5:02:00;100.0;04/06/2025 00:00;Faturado em outro projeto;Tadeu Trajano;Thiago Alcantara;02/04/2025 00:00;04/06/2025 00:00;25/07/2025 18:00;Campos Mello - Microsoft Defender for Office 365 P2 (Segurança Office 365) 12 horas;Desenvolvimento e implementação de projeto DEFENDER
11031;SUPLEY;Data e Power;Em Atendimento;188.0;9:20:00;5.0;27/06/2025 00:00;Faturar no inicio do projeto;Vitória Germann;Mateus Silva;24/03/2025 00:00;;;SUPLEY melhoria na preparação de dados para bi - Vitória;Desenvolvimento e implementação de projeto Data
10606;CAMPOS MELLO ADVOGADOS;Data e Power;Fechado;15.0;20:57:00;100.0;28/03/2025 00:00;Descontar do PLUS no inicio do projeto;Helen Machado;Thiago Alcantara;27/02/2025 00:00;28/03/2025 00:00;25/03/2025 18:00;CAMPOS MELLO - APPS;Desenvolvimento e implementação de projeto Power App
10635;Marilan;Data e Power;Fechado;10.0;4:22:00;;31/03/2025 00:00;Faturar no inicio do projeto;CDB Data Solutions;Mateus Silva;28/02/2025 00:00;31/03/2025 00:00;;MARILAN horas cdb;Desenvolvimento e implementação de projeto Power BI Embedded
10388;Cerradinho;Data e Power;Fechado;18.0;20:01:00;;31/03/2025 00:00;Faturar no inicio do projeto;CDB Data Solutions;Mateus Silva;18/02/2025 00:00;31/03/2025 00:00;;CERRADINHO upgrade portal embedded cdb;Desenvolvimento e implementação de projeto Power BI Embedded
11343;SUPLEY;Data e Power;Em Atendimento;150.0;25:41:00;5.0;28/06/2025 00:00;Faturado em outro projeto;CDB Data Solutions;Mateus Silva;09/04/2025 00:00;;;SUPLEY melhoria na preparação de dados para bi - CDB;Desenvolvimento e implementação de projeto Data
10749;TOLI DISTRIBUIDORA;Data e Power;Fechado;22.0;20:06:00;;31/03/2025 00:00;Faturar no inicio do projeto;CDB Data Solutions;Eder Rodrigues;10/03/2025 00:00;31/03/2025 00:00;;TOLI DISTRIBUIDORA , SERVIÇOS POWER BI;Desenvolvimento e implementação de projeto Power BI Embedded
11014;TENDA ATACADO;M365;Fechado;10.0;34:21:00;100.0;27/05/2025 00:00;Engajamento;Carla Teixeira;Diogo Lima;24/03/2025 00:00;27/05/2025 00:00;26/05/2025 18:00;TENDA ATACADO, Data Security Engagement;Engajamento - Data security
10999;TENDA ATACADO;M365;Fechado;10.0;40:31:00;100.0;27/05/2025 00:00;Engajamento;Carla Teixeira;Diogo Lima;21/03/2025 00:00;27/05/2025 00:00;26/05/2025 18:00;TENDA ATACADO, Threat Protection Engagement;Engajamento - Threat protection engagement
11123;CAMPOS MELLO ADVOGADOS;Azure;Fechado;10.0;7:37:00;25.0;29/04/2025 00:00;Engajamento;Matheus Pacheco;Thiago Alcantara;28/03/2025 00:00;29/04/2025 00:00;28/04/2025 08:00;CAMPOS MELLO - INCENTIVO;Migracao Workload On Premises para Azure
11408;FORSHIP ENGENHARIA;M365;Fechado;10.0;15:57:00;5.0;27/05/2025 00:00;Engajamento;Matheus Pacheco;Thiago Alcantara;14/04/2025 00:00;27/05/2025 00:00;28/05/2025 18:00;Forship - Assessment for Rapid Migration;Assessment de Segurança
10364;MERCUR;Data e Power;Fechado;35.0;18:16:00;100.0;13/03/2025 00:00;Descontar do PLUS no inicio do projeto;Felipe Neiva;Eder Rodrigues;17/02/2025 00:00;13/03/2025 00:00;13/03/2025 18:00;MERCUR , PREVENDAS ATUALIZAÇÃO PORTAL DE COMPRAS;Desenvolvimento e implementação de projeto Power App
11345;SUPLEY;Azure;Fechado;50.0;42:09:00;100.0;26/06/2025 00:00;Faturado em outro projeto;Erick Alex;Mateus Silva;09/04/2025 00:00;26/06/2025 00:00;23/06/2025 18:00;SUPLEY melhoria na preparação de dados para bi - Azure;Desenvolvimento e implementação de projeto Defender for Cloud
10726;TENDA ATACADO;Azure;Fechado;45.0;27:06:00;100.0;25/03/2025 00:00;Faturar no final do projeto;Erick Alex;Diogo Lima;10/03/2025 00:00;25/03/2025 00:00;26/03/2025 18:00;TENDA ATACADO, Criação do Datalake no Azure;Criação e Configuração Storage Account - Blob, File Share, Queues ou Tables
10775;FSA SOLUCOES;Azure;Fechado;50.0;56:09:00;100.0;30/05/2025 00:00;PRIME;Erick Alex;Thaise Albuquerque;11/03/2025 00:00;30/05/2025 00:00;30/05/2025 18:00;FSA - AZURE, Migração EA para CSP;Migracao de tenant CSP para EA
11774;STELLA - ULTRA FILIAL;M365;Fechado;0.0;0:00:00;;21/05/2025 00:00;Faturar no final do projeto;Eduardo Fernandes;Erika Okada;06/05/2025 00:00;21/05/2025 00:00;;STELLA - Aditivo Proposta SOU-OP-008162 v2;Desenvolvimento e implementação de projeto de migração para Sharepoint
11704;SOU.cloud;Azure;Aguardando;;0:02:00;;07/05/2025 00:00;;Eduardo Kochhann;;02/05/2025 00:00;;;Reestruturação Lighthouse;Atualização/Upgrade de ambiente
12753;SOU.cloud;Data e Power;Novo;100.0;0:01:00;;29/06/2025 00:00;Faturado em outro projeto;Eduardo Kochhann;Eder Rodrigues;29/06/2025 00:00;;30/07/2025 18:00;SOU.cloud - TST 01 PMO Control.360;Desenvolvimento e implementação de projeto Data
12542;GRUPO SANMARTIN;M365;Novo;40.0;0:00:00;;30/06/2025 00:00;Abonado;Eduardo Kochhann;Aline Mezzomo;16/06/2025 00:00;;;Máquinas Sanmartin - Etiquetas Office 365;Fast Track
12550;MESSEM;Data e Power;Novo;15.0;0:00:00;;30/06/2025 00:00;Faturar no inicio do projeto;Eduardo Kochhann;Cleber Bastos;17/06/2025 00:00;;;FAMICAPITAL, Power BI Embedded;Desenvolvimento e implementação de projeto Power BI Embedded
12617;Sicoob Coopecredi;Data e Power;Novo;20.0;0:00:00;;30/06/2025 00:00;Faturar no inicio do projeto;Eduardo Kochhann;Gustavo Moyses;20/06/2025 00:00;;;SICOOB PRO / EMBEDDED;Desenvolvimento e implementação de projeto Power BI Embedded
12438;Less Click;M365;Novo;10.0;0:02:00;;17/06/2025 00:00;Descontar do PLUS no inicio do projeto;Gabriel de Menezes;Eder Rodrigues;11/06/2025 00:00;;27/06/2025 18:00;LESS CLICK,FAST TRACK ADVANCED AZURE;Assessment de Segurança
12439;Metha;M365;Novo;10.0;0:02:00;;17/06/2025 00:00;Descontar do PLUS no inicio do projeto;Gabriel de Menezes;Eder Rodrigues;11/06/2025 00:00;;30/06/2025 18:00;METHA , FAST TRACK ADVANCED M365;Assessment de Segurança
