Número;Cliente (Completo);Serviço (2º Nível);Status;Esforço estimado;Tempo trabalhado;Andamento;Data da última ação;Tipo de faturamento;Responsável;Account Manager ;Aberto em;Resolvido em;Vencimento em;Assunto;Serviço (3º Nível)
1182;MERCUR;M365;Fechado;40;14:25:00;75%;05/02/2024;Descontar do PLUS no inicio do projeto;Vinicius Silva;Eder Rodrigues;04/10/2023;05/02/2024;29/02/2024;SOU.cloud Security Fast Track;Assessment de Segurança
8658;COMERCIAL ZAFFARI (GAUCHINHO);Data e Power;Fechado;48;51:00:00;100%;26/11/2024;Faturado em outro projeto.;Erick Alex;Eder Rodrigues;08/11/2024;26/11/2024;27/11/2024;COMERCIAL ZAFFARI , PROJETO DE DATA ANALYTICS 2024 ESCOPO FECHADO;Desenvolvimento e implementação de projeto Data
8664;Doctor Clin Operadora de Planos de Saúde;M365;Fechado;15;03:09:00;100%;30/01/2025;Descontar do PLUS no inicio do projeto;Gabriel de Menezes;Denilson Barboza;08/11/2024;30/01/2025;24/01/2025;DOCTOR CLIN - ENTRA ID;Desenvolvimento e implementação de projeto INTUNE
8760;INNOVAMED COMERCIO DE PRODUTOS MEDICOS HOSPITALARES LTDA;M365;Fechado;0;03:34:00;100%;29/11/2024;PRIME;Gabriel de Menezes;Thiago Alcantara;14/11/2024;29/11/2024;29/11/2024;Domínio - INNOVAMED - Registro.BR x Microsoft;Migracao Zona DNS - Nameservers microsoft 365
8808;PRIME HOLDING;M365;Fechado;300;18:37:00;100%;03/04/2025;PRIME;Tadeu Trajano;Junior Brevia;19/11/2024;03/04/2025;21/02/2025;PRIME HOLDING, M365 + Unificação de Tenants;Migracao de tenant para tenant
8854;LAWYERHUB;M365;Fechado;20;19:14:00;;17/12/2024;Faturar no inicio do projeto;Helen Machado;Keila Sayuri;21/11/2024;17/12/2024;13/12/2024;LAWYERHUB , SHAREPOINT;Desenvolvimento e implementação de projeto INTRANET
8912;CAMPOS MELLO ADVOGADOS;M365;Fechado;65;60:52:00;50%;01/04/2025;Descontar do PLUS no inicio do projeto;Helen Machado;Thiago Alcantara;25/11/2024;01/04/2025;21/03/2025;Campos Mello - Sharepoint INTRANET;Desenvolvimento e implementação de projeto INTRANET
8950;SICOOB CREDICERIPA;Data e Power;Fechado;32;27:30:00;100%;27/12/2024;Faturar no inicio do projeto;Mateus Augusto;Erika Okada;26/11/2024;27/12/2024;27/12/2024;CREDICERIPA, POWER BI EMBEDDED (AZURE);Desenvolvimento e implementação de projeto Power BI Embedded
8998;A7 REALIZACOES;M365;Fechado;25;04:17:00;100%;21/01/2025;Faturar no inicio do projeto;Luciano Seabra;Jéssica Oliveira;28/11/2024;21/01/2025;17/01/2025;A7 REALIZACOES - PROJETO - CONFIGURAÇÃO SHAREPOINT ONLINE ;Desenvolvimento e implementação de projeto Sharepoint
9011;YOSEN;M365;Fechado;50;02:34:00;100%;15/03/2025;Faturar no final do projeto;Gabriel de Menezes;Mateus Silva;29/11/2024;15/03/2025;14/03/2025;YOSEN migração 365 - PCN 86878;Migracao GSuite para M365
9111;Cestas de Natal;Azure;Fechado;20;15:52:00;100%;07/01/2025;Faturar no final do projeto;Mateus Augusto;Cleber Bastos;04/12/2024;07/01/2025;;CAPITALDASCESTAS, Implementação do Azure AD – 20 horas;Desenvolvimento e implementação de projeto de ADDS
9116;AQUANIMA;M365;Fechado;60;16:48:00;100%;31/01/2025;Descontar do PLUS no inicio do projeto;Luciano Seabra;Gustavo Moyses;04/12/2024;31/01/2025;31/01/2025;AQUANIMA / M365 PREMIUM;Criação de ambiente M365
7361;Marilan;Data e Power;Fechado;9;08:57:00;;13/09/2024;Faturado em outro projeto.;René Pretto de Braga ;Mateus Silva;03/09/2024;13/09/2024;;MARILAN power bi embedded consumo azure;Desenvolvimento e implementação de projeto Power BI Embedded
7412;CBT;M365;Fechado;20;25:33:00;;04/10/2024;Faturar no final do projeto;Luciano Seabra;Denilson Barboza;05/09/2024;04/10/2024;03/10/2024;CBT, Implementação Intune para gereciamento de dispositivos Smartphones;Desenvolvimento e implementação de projeto INTUNE
7640;LPQBR RESTAURANTES E PADARIAS LTDA.;M365;Fechado;35;39:42:00;100%;19/11/2024;PRIME;Gabriel de Menezes;Thiago Alcantara;13/09/2024;19/11/2024;22/11/2024;LPQBR - MIGRAÇÃO IMAP - LOCAWEB;Migracao E-mails IMAP para M365
7742;Baldin Bioenergia;M365;Fechado;5;12:55:00;100%;28/11/2024;Faturado em outro projeto.;Tadeu Trajano;Gustavo Moyses;23/09/2024;28/11/2024;31/12/2024;BALDIN / BACKUP FOR M365;Criação de ambiente M365
7764;HT MICRON;M365;Fechado;40;39:06:00;75%;02/04/2025;Descontar do PLUS no inicio do projeto;Helen Machado;Denilson Barboza;24/09/2024;02/04/2025;31/03/2025;HT MICRON, Implementação Sharepoint INTRANET;Desenvolvimento e implementação de projeto INTRANET
7826;Cerradinho;Data e Power;Fechado;6;06:25:00;75%;22/10/2024;Faturar no final do projeto;Felipe Neiva;Mateus Silva;26/09/2024;22/10/2024;22/10/2024;CERRADINHO melhoria app controle de materiais;Desenvolvimento e implementação de projeto Power App
7868;ASSOCIACAO;M365;Fechado;45;48:16:00;100%;18/11/2024;PRIME;Gabriel de Menezes;Erika Okada;30/09/2024;18/11/2024;15/11/2024;FARMACIAS ASSOCIADAS - MIGRAÇÃO DE E-MAILS LOCAWEB;Migracao E-mails IMAP para M365
7963;Pochteca;M365;Fechado;27;15:15:00;100%;07/11/2024;Faturar no inicio do projeto;Tadeu Trajano;Juliana Santos;03/10/2024;07/11/2024;08/11/2024;COREMAL - POC;Desenvolvimento e implementação de projeto INTUNE com DEFENDER
7991;HOSPITAL DE CANCER ARAUJO JORGE;M365;Fechado;10;24:14:00;100%;07/11/2024;Descontar do PLUS no inicio do projeto;Gabriel de Menezes;Erika Okada;04/10/2024;07/11/2024;15/11/2024;ASSOCIAÇÃO DE COMBATE AO CANCER - CONFIGURAÇÃO DE AMBIENTE ONLYCLOUD - SEM MIGRAÇÃO DE DADOS;Migracao de tenant para tenant
8048;MAURÍCIO SCHOLTEN;M365;Fechado;15;12:33:00;100%;09/12/2024;Faturar no final do projeto;Gabriel de Menezes;Keila Sayuri;08/10/2024;09/12/2024;09/12/2024;GRUPO FRD - MIGRAÇÃO IMAP - LOCAWEB;Migracao E-mails IMAP para M365
8215;Sicoob Coopecredi;M365;Fechado;30;43:11:00;75%;17/02/2025;Faturar no inicio do projeto;Gabriel de Menezes;Gustavo Moyses;16/10/2024;17/02/2025;30/01/2025;SICOOB PRO / M365 F1 - ENTRA ID P1 e RENAME SPO;Criação de ambiente M365
8228;GRUPO CANOPUS;Data e Power;Fechado;28;10:01:00;;08/11/2024;Descontar do PLUS no inicio do projeto;René Pretto de Braga ;Keila Sayuri;16/10/2024;14/11/2024;;EMBEDDED - DISVECO;Desenvolvimento e implementação de projeto Power BI Embedded
8249;LAWYERHUB;M365;Fechado;15;18:14:00;100%;12/11/2024;Faturar no inicio do projeto;Gabriel de Menezes;Keila Sayuri;21/10/2024;12/11/2024;15/11/2024;MS TECNOLOGIA FLORIANÓPOLIS - MIGRAÇÃO DE E-MAILS - GMAIL - M365;Migracao E-mails IMAP para M365
8272;;Azure;Fechado;4;03:50:00;100%;29/10/2024;Faturar no final do projeto;Mateus Augusto;Jéssica Oliveira;21/10/2024;29/10/2024;;MOBILINE - Upgrade Azure;Atualização/Upgrade de ambiente
8289;TOLI DISTRIBUIDORA;Azure;Fechado;20;20:00:00;100%;30/10/2024;Faturar no inicio do projeto;Mateus Augusto;Eder Rodrigues;22/10/2024;30/10/2024;;TOLI DISTRIBUIDORA , PBI EMBEDDED;Desenvolvimento e implementação de projeto App Services
8292;HIDROPAN DISTRIBUICAO DE ENERGIA S.A.;M365;Fechado;30;67:45:00;100%;14/01/2025;Descontar do PLUS no inicio do projeto;Luciano Seabra;Jéssica Oliveira;22/10/2024;14/01/2025;14/01/2025;HIDROPAN - Projeto Entra ID;Desenvolvimento e implementação de projeto Windows 365
8295;Gustavo Alves Vieira;M365;Fechado;15;16:39:00;100%;29/01/2025;Faturar no final do projeto;Gabriel de Menezes;Keila Sayuri;22/10/2024;29/01/2025;28/01/2025;GUSTAVO ALVES VIEIRA - MIGRAÇÃO GMAIL;Migracao E-mails IMAP para M365
8323;VAMTEC VITORIA LTDA;M365;Fechado;20;14:05:00;100%;21/11/2024;Faturar no final do projeto;Tadeu Trajano;Gustavo Moyses;23/10/2024;21/11/2024;22/11/2024;VAMTEC GROUP / Migração de Domínio;Migracao GSuite para M365
6574;ENFORCE GESTAO DE ATIVOS S.A.;M365;Aguardando;138;226:59:00;75%;10/04/2025;Descontar do PLUS no inicio do projeto;Eduardo Kochhann;Thiago Alcantara;19/07/2024;;28/03/2025;ENFORCE - Projeto Assistente Virtual;
7130;QUALIDADE EM SAUDE;Data e Power;Fechado;20;00:00:00;;30/08/2024;Descontar do PLUS no inicio do projeto;Eduardo Fernandes;Eder Rodrigues;21/08/2024;30/08/2024;;QUALIDADE EM SAÚDE , IMPLANTAÇÃO DE PBI EMBEDDED;Desenvolvimento e implementação de projeto Power BI Embedded
8329;Novo Cliente Projetos;M365;Fechado;20;17:30:00;;02/12/2024;PRIME;Helen Machado;Gustavo Moyses;24/10/2024;02/12/2024;;PENTAGONO /  INTRANET SHAREPOINT;Desenvolvimento e implementação de projeto INTRANET
8346;HOSPITAL DE CANCER ARAUJO JORGE;M365;Fechado;40;37:43:00;;26/12/2024;Descontar do PLUS no inicio do projeto;Helen Machado;Erika Okada;24/10/2024;26/12/2024;;Associação de combate ao Câncer em Goias-Escopo fechado sharepoint;Desenvolvimento e implementação de projeto Sharepoint
8476;GDM;M365;Fechado;173;83:12:00;100%;07/01/2025;Faturar no inicio do projeto;Tadeu Trajano;Erika Okada;31/10/2024;07/01/2025;06/01/2025;GDM, Migração KWS- Exchange online;Migracao de tenant para tenant
6602;Cerradinho;Azure;Fechado;10;14:15:00;5%;22/02/2025;Faturar no final do projeto;Gabriel de Menezes;Mateus Silva;23/07/2024;22/02/2025;27/12/2024;CERRADINHO - IMPLEMENTAÇÃO DEFENDER FOR SERVER - OT;Desenvolvimento e implementação de projeto Defender for Cloud
6857;SICOOB CREDICERIPA;Azure;Fechado;50;06:11:00;75%;03/10/2024;Descontar do PLUS no inicio do projeto;Tadeu Trajano;Erika Okada;07/08/2024;03/10/2024;31/10/2024;CREDICERIPA- UNIVERSAL PRINT Serviços;Configuracao ou Adição de script
6889;Marilan;Azure;Fechado;700;662:26:00;75%;06/06/2025;Faturar no final do projeto;René Pretto de Braga ;Mateus Silva;08/08/2024;06/06/2025;24/04/2025;MARILAN sap on azure;Desenvolvimento e implementação de projeto de Migração de Banco de Dados
6932;ZILOR;Azure;Fechado;24;23:57:00;;02/09/2024;Descontar do PLUS no inicio do projeto;René Pretto de Braga ;Eder Rodrigues;12/08/2024;06/09/2024;;ZILOR, AVALIAR MIGRAÇÃO AMBIENTE CITRIX PARA AVD;Desenvolvimento e implementação de projeto App Services
6956;ARQUITETOS DA SAUDE;M365;Fechado;20;51:56:00;;15/10/2024;Faturar no inicio do projeto;Luciano Seabra;Gustavo Moyses;13/08/2024;15/10/2024;18/10/2024;ARQUITETOS DA SAUDE / SHAREPOINT;Desenvolvimento e implementação de projeto de migração para Sharepoint
6969;Tuper - Divisao Tubos;Data e Power;Fechado;15;17:23:00;75%;30/08/2024;PRIME;Vitória Germann;Cleber Bastos;13/08/2024;30/08/2024;; TUPER - PROJETO MIGRAÇÃO QLIK VIEW;Desenvolvimento e implementação de projeto Power BI
6998;LIONS TRUST ADMINISTRADORA DE RECURSOS LTDA;M365;Fechado;250;225:02:00;75%;08/05/2025;Descontar do PLUS no inicio do projeto;Tadeu Trajano;Jéssica Oliveira;14/08/2024;08/05/2025;25/04/2025;LIONS TRUST - Projetos Segurança;Desenvolvimento e implementação de projeto INTUNE
7089;IAUDIT;M365;Fechado;40;21:38:00;100%;12/11/2024;Descontar do PLUS no inicio do projeto;Tadeu Trajano;Edison Sprandel;19/08/2024;12/11/2024;29/11/2024;iAUDIT, Intune + Defender;Desenvolvimento e implementação de projeto INTUNE com DEFENDER
7109;TradersClub;M365;Fechado;60;09:11:00;;11/10/2024;Descontar do PLUS no inicio do projeto;Guilherme Martini Perez;Erika Okada;20/08/2024;11/10/2024;;TC S.A- Intranet- Ajuda;Desenvolvimento e implementação de projeto INTRANET
7326;HAVAN;M365;Fechado;34;100:10:00;25%;28/05/2025;Faturar no inicio do projeto;Eduardo Kochhann;Edison Sprandel;30/08/2024;28/05/2025;27/12/2024;HAVAN - MIGRAÇÃO SHAREPOINT SERVER - SHAREPOINT ONLINE;Desenvolvimento e implementação de projeto de migração para Sharepoint
5592;VIRALCOOL - ACUCAR E ALCOOL LTDA.;M365;Fechado;25;13:39:00;;27/01/2025;Faturado em outro projeto.;Helen Machado;Gustavo Moyses;27/05/2024;27/01/2025;;VIRALCOOL SERTAOZINHO  / INTRANET;Desenvolvimento e implementação de projeto INTRANET
5655;Pentágono Engenharia;M365;Fechado;45;38:19:00;100%;26/09/2024;Faturar no inicio do projeto;Gabriel de Menezes;Gustavo Moyses;29/05/2024;26/09/2024;27/09/2024;PENTAGONO / M365 F1 - INTUNE;Desenvolvimento e implementação de projeto INTUNE
5664;Pentágono Engenharia;M365;Fechado;35;20:29:00;100%;30/08/2024;Faturar no final do projeto;Gabriel de Menezes;Gustavo Moyses;29/05/2024;30/08/2024;30/08/2024;PENTÁGONO - CRIAÇAO ESTRUTURA SHAREPOINT ONLINE;Desenvolvimento e implementação de projeto Sharepoint
